id;eventname;hostname;traptime;i2;e2;h2;t2;formatline;fl2
10939360;alarmACmainsTrap;RC_EV_SCF2_MT_PRI_1;"2014-10-09 23:10:27";10939337;linkDown;AC_AL_SA30_MT_PRI_1;"2014-10-09 23:10:16";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306249728"
10939360;alarmACmainsTrap;RC_EV_SCF2_MT_PRI_1;"2014-10-09 23:10:27";10939336;linkDown;AC_AL_SA30_MT_PRI_1;"2014-10-09 23:10:16";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306249728"
10939360;alarmACmainsTrap;RC_EV_SCF2_MT_PRI_1;"2014-10-09 23:10:27";10939335;linkDown;AC_AL_SA30_MT_PRI_1;"2014-10-09 23:10:16";"1 0";"Link down on interface 306249728.  Admin state: $2.  Operational state: $3 "
10938596;alarmACmainsTrap;RC_EV_SCF2_SU_TVJ_1;"2014-10-09 23:01:55";NULL;NULL;NULL;NULL;"1 0";NULL
10937899;alarmACmainsTrap;RC_EV_SCF2_BL_ZAM_1;"2014-10-09 22:54:07";NULL;NULL;NULL;NULL;"1 0";NULL
10937521;alarmACmainsTrap;RC_EV_SCF2_CR_MOM_1;"2014-10-09 22:50:19";NULL;NULL;NULL;NULL;"1 0";NULL
10937519;alarmACmainsTrap;RC_EV_SCF2_MT_CAB_1;"2014-10-09 22:50:17";NULL;NULL;NULL;NULL;"1 0";NULL
10937090;alarmACmainsTrap;RC_EV_SCF2_BL_TBN_1;"2014-10-09 22:45:38";10937174;linkDown;AC_AL_SA30_BL_TBN_1;"2014-10-09 22:46:24";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306249728"
10937090;alarmACmainsTrap;RC_EV_SCF2_BL_TBN_1;"2014-10-09 22:45:38";10937173;linkDown;AC_AL_SA30_BL_TBN_1;"2014-10-09 22:46:24";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306249728"
10937090;alarmACmainsTrap;RC_EV_SCF2_BL_TBN_1;"2014-10-09 22:45:38";10937172;linkDown;AC_AL_SA30_BL_TBN_1;"2014-10-09 22:46:24";"1 0";"A linkDown trap signifies that the SNMPv2 entity, 306249728"
10937090;alarmACmainsTrap;RC_EV_SCF2_BL_TBN_1;"2014-10-09 22:45:38";10937170;linkDown;AC_AL_SA30_BL_TBN_1;"2014-10-09 22:46:24";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306249728"
10937090;alarmACmainsTrap;RC_EV_SCF2_BL_TBN_1;"2014-10-09 22:45:38";10937169;linkDown;AC_AL_SA30_BL_TBN_1;"2014-10-09 22:46:24";"1 0";"Link down on interface 306249728.  Admin state: $2.  Operational state: $3 "
10937090;alarmACmainsTrap;RC_EV_SCF2_BL_TBN_1;"2014-10-09 22:45:38";10937171;linkDown;AC_AL_SA30_BL_TBN_1;"2014-10-09 22:46:24";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306249728"
10937090;alarmACmainsTrap;RC_EV_SCF2_BL_TBN_1;"2014-10-09 22:45:38";10937046;linkDown;AC_AL_SA30_BL_TBN_1;"2014-10-09 22:45:23";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306184192"
10937090;alarmACmainsTrap;RC_EV_SCF2_BL_TBN_1;"2014-10-09 22:45:38";10937045;linkDown;AC_AL_SA30_BL_TBN_1;"2014-10-09 22:45:23";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306184192"
10937090;alarmACmainsTrap;RC_EV_SCF2_BL_TBN_1;"2014-10-09 22:45:38";10937044;linkDown;AC_AL_SA30_BL_TBN_1;"2014-10-09 22:45:23";"1 0";"A linkDown trap signifies that the SNMPv2 entity, 306184192"
10937090;alarmACmainsTrap;RC_EV_SCF2_BL_TBN_1;"2014-10-09 22:45:38";10937043;linkDown;AC_AL_SA30_BL_TBN_1;"2014-10-09 22:45:23";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306184192"
10937090;alarmACmainsTrap;RC_EV_SCF2_BL_TBN_1;"2014-10-09 22:45:38";10937042;linkDown;AC_AL_SA30_BL_TBN_1;"2014-10-09 22:45:23";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306184192"
10937090;alarmACmainsTrap;RC_EV_SCF2_BL_TBN_1;"2014-10-09 22:45:38";10937041;linkDown;AC_AL_SA30_BL_TBN_1;"2014-10-09 22:45:23";"1 0";"Link down on interface 306184192.  Admin state: $2.  Operational state: $3 "
10937063;alarmACmainsTrap;RC_EV_SCF2_BL_ZAM_1;"2014-10-09 22:45:29";NULL;NULL;NULL;NULL;"1 0";NULL
10936960;alarmACmainsTrap;RC_EV_SCF2_CR_MOM_1;"2014-10-09 22:44:32";NULL;NULL;NULL;NULL;"1 0";NULL
10936843;alarmACmainsTrap;RC_EV_SCF2_SU_TVJ_1;"2014-10-09 22:43:20";NULL;NULL;NULL;NULL;"1 0";NULL
10936719;alarmACmainsTrap;RC_EV_SCF2_MG_ZPY_1;"2014-10-09 22:42:09";NULL;NULL;NULL;NULL;"1 0";NULL
10936473;alarmACmainsTrap;RC_EV_SCF2_BL_ZAM_1;"2014-10-09 22:39:34";NULL;NULL;NULL;NULL;"1 0";NULL
10936342;alarmACmainsTrap;RC_EV_SCF2_CR_MOM_1;"2014-10-09 22:38:13";NULL;NULL;NULL;NULL;"1 0";NULL
10936326;alarmACmainsTrap;RC_EV_SCF2_SU_TVJ_1;"2014-10-09 22:38:01";NULL;NULL;NULL;NULL;"1 0";NULL
10936140;alarmACmainsTrap;RC_EV_SCF2_BL_ELG_1;"2014-10-09 22:36:20";NULL;NULL;NULL;NULL;"1 0";NULL
10935777;alarmACmainsTrap;RC_EV_SCF2_CR_MOM_1;"2014-10-09 22:33:01";NULL;NULL;NULL;NULL;"1 0";NULL
10935744;alarmACmainsTrap;RC_EV_SCF2_MT_CAB_1;"2014-10-09 22:32:48";NULL;NULL;NULL;NULL;"1 0";NULL
10935574;alarmACmainsTrap;RC_EV_SCF2_SU_TVJ_1;"2014-10-09 22:30:47";NULL;NULL;NULL;NULL;"1 0";NULL
10934888;alarmACmainsTrap;RC_EV_SCF2_MT_PLL_1;"2014-10-09 22:23:49";NULL;NULL;NULL;NULL;"1 0";NULL
10934885;alarmACmainsTrap;RC_EV_SCF2_MT_PRI_1;"2014-10-09 22:23:48";NULL;NULL;NULL;NULL;"1 0";NULL
10934756;alarmACmainsTrap;RC_EV_SCF2_CR_MOM_1;"2014-10-09 22:22:36";NULL;NULL;NULL;NULL;"1 0";NULL
10934091;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:17:14";10934248;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:18:13";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 302071808"
10934091;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:17:14";10934249;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:18:13";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 302071808"
10934091;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:17:14";10934247;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:18:13";"1 0";"A linkDown trap signifies that the SNMPv2 entity, 302071808"
10934091;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:17:14";10934246;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:18:13";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 302071808"
10934091;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:17:14";10934245;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:18:13";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 302071808"
10934091;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:17:14";10934244;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:18:13";"1 0";"Link down on interface 302071808.  Admin state: $2.  Operational state: $3 "
10934091;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:17:14";10934156;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:17:49";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306298880"
10934091;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:17:14";10934157;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:17:49";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306298880"
